age,education_level,study_hours_per_day,uses_ai,ai_tools_used,purpose_of_ai,grades_before_ai,grades_after_ai,daily_screen_time_hours,grade_improvement,user_category
19,college,1.4,No,None,None,62,62,3,0,Non-User
15,school,3.9,Yes,Copilot,Research,56,61,2,5,AI User
15,school,1.9,Yes,Copilot,Homework,75,88,5,13,AI User
15,school,2.8,No,None,None,55,55,3,0,Non-User
19,college,2.7,No,None,None,59,59,3,0,Non-User
16,school,1.4,No,None,None,58,58,4,0,Non-User
16,school,3.4,Yes,Copilot,Research,72,78,5,6,AI User
14,school,3.2,No,None,None,73,73,3,0,Non-User
19,college,1.3,Yes,Gemini,Homework,62,68,5,6,AI User
16,school,2.8,No,None,None,60,60,4,0,Non-User
16,school,1.8,No,None,None,75,75,2,0,Non-User
18,college,3.5,Yes,ChatGPT,Research,67,76,7,9,AI User
19,college,3.2,No,None,None,56,56,3,0,Non-User
14,school,4.2,No,None,None,63,63,2,0,Non-User
15,school,4.7,No,None,None,61,61,7,0,Non-User
17,college,2.6,No,None,None,59,59,4,0,Non-User
15,school,2.0,No,None,None,73,73,5,0,Non-User
18,college,2.6,Yes,ChatGPT,Coding,70,76,2,6,AI User
14,school,1.6,Yes,Copilot,Research,74,80,5,6,AI User
17,college,3.4,No,None,None,71,71,4,0,Non-User
18,college,4.4,Yes,Copilot,Coding,58,73,6,15,AI User
16,school,4.1,No,None,None,58,58,4,0,Non-User
17,college,1.6,Yes,Copilot,Coding,63,76,3,13,AI User
18,college,4.7,No,None,None,75,75,6,0,Non-User
18,college,1.8,No,None,None,60,60,6,0,Non-User
18,college,4.7,No,None,None,70,70,2,0,Non-User
14,school,4.7,No,None,None,62,62,2,0,Non-User
15,school,4.5,Yes,ChatGPT,Coding,70,76,6,6,AI User
15,school,1.5,No,None,None,72,72,3,0,Non-User
16,school,3.1,No,None,None,61,61,6,0,Non-User
19,college,3.8,No,None,None,67,67,7,0,Non-User
19,college,2.5,No,None,None,58,58,3,0,Non-User
15,school,1.3,Yes,Copilot,Coding,62,76,3,14,AI User
14,school,1.3,Yes,ChatGPT,Homework,56,66,2,10,AI User
18,college,2.0,No,None,None,61,61,6,0,Non-User
15,school,3.9,No,None,None,62,62,5,0,Non-User
17,college,1.8,Yes,Copilot,Research,66,77,5,11,AI User
17,college,4.5,Yes,Copilot,Coding,75,81,2,6,AI User
17,college,3.9,Yes,ChatGPT,Homework,61,74,5,13,AI User
15,school,2.7,No,None,None,69,69,3,0,Non-User
14,school,2.8,Yes,ChatGPT,Coding,72,77,2,5,AI User
15,school,1.7,No,None,None,70,70,3,0,Non-User
17,college,4.6,Yes,Gemini,Homework,67,76,5,9,AI User
16,school,2.7,No,None,None,59,59,3,0,Non-User
16,school,1.9,Yes,Copilot,Coding,72,77,7,5,AI User
16,school,1.2,No,None,None,71,71,6,0,Non-User
15,school,1.2,Yes,ChatGPT,Homework,74,80,7,6,AI User
15,school,2.6,Yes,Copilot,Coding,56,70,2,14,AI User
17,college,3.6,No,None,None,63,63,3,0,Non-User
19,college,3.9,Yes,Gemini,Research,59,74,7,15,AI User
16,school,2.8,Yes,ChatGPT,Research,74,88,2,14,AI User
14,school,3.2,No,None,None,59,59,4,0,Non-User
14,school,4.5,No,None,None,64,64,3,0,Non-User
17,college,4.3,No,None,None,74,74,7,0,Non-User
18,college,1.0,No,None,None,58,58,3,0,Non-User
16,school,1.5,Yes,Copilot,Coding,59,68,4,9,AI User
18,college,1.8,No,None,None,61,61,7,0,Non-User
19,college,4.4,No,None,None,63,63,2,0,Non-User
14,school,3.5,No,None,None,56,56,2,0,Non-User
16,school,4.1,No,None,None,60,60,7,0,Non-User
